precision,workload_type,workload_function,dims,iterations
bf16,nonlinear,softmax,"(2048, 256)",-1
fp16,nonlinear,softmax,"(2048, 256)",-1
fp32,nonlinear,softmax,"(2048, 256)",-1
bf16,nonlinear,softmax,"(2048, 320)",-1
fp16,nonlinear,softmax,"(2048, 320)",-1
fp32,nonlinear,softmax,"(2048, 320)",-1
bf16,nonlinear,softmax,"(2048, 384)",-1
fp16,nonlinear,softmax,"(2048, 384)",-1
fp32,nonlinear,softmax,"(2048, 384)",-1
bf16,nonlinear,softmax,"(2048, 448)",-1
fp16,nonlinear,softmax,"(2048, 448)",-1
fp32,nonlinear,softmax,"(2048, 448)",-1
bf16,nonlinear,softmax,"(2048, 512)",-1
fp16,nonlinear,softmax,"(2048, 512)",-1
fp32,nonlinear,softmax,"(2048, 512)",-1
bf16,nonlinear,softmax,"(2048, 576)",-1
fp16,nonlinear,softmax,"(2048, 576)",-1
fp32,nonlinear,softmax,"(2048, 576)",-1
bf16,nonlinear,softmax,"(2048, 640)",-1
fp16,nonlinear,softmax,"(2048, 640)",-1
fp32,nonlinear,softmax,"(2048, 640)",-1
bf16,nonlinear,softmax,"(2048, 704)",-1
fp16,nonlinear,softmax,"(2048, 704)",-1
fp32,nonlinear,softmax,"(2048, 704)",-1
bf16,nonlinear,softmax,"(2048, 768)",-1
fp16,nonlinear,softmax,"(2048, 768)",-1
fp32,nonlinear,softmax,"(2048, 768)",-1
bf16,nonlinear,softmax,"(2048, 832)",-1
fp16,nonlinear,softmax,"(2048, 832)",-1
fp32,nonlinear,softmax,"(2048, 832)",-1
bf16,nonlinear,softmax,"(2048, 896)",-1
fp16,nonlinear,softmax,"(2048, 896)",-1
fp32,nonlinear,softmax,"(2048, 896)",-1
bf16,nonlinear,softmax,"(2048, 960)",-1
fp16,nonlinear,softmax,"(2048, 960)",-1
fp32,nonlinear,softmax,"(2048, 960)",-1
bf16,nonlinear,softmax,"(256, 1024)",-1
fp16,nonlinear,softmax,"(256, 1024)",-1
fp32,nonlinear,softmax,"(256, 1024)",-1
bf16,nonlinear,softmax,"(256, 128)",-1
fp16,nonlinear,softmax,"(256, 128)",-1
fp32,nonlinear,softmax,"(256, 128)",-1
bf16,nonlinear,softmax,"(256, 192)",-1
fp16,nonlinear,softmax,"(256, 192)",-1
fp32,nonlinear,softmax,"(256, 192)",-1
bf16,nonlinear,softmax,"(256, 256)",-1
fp16,nonlinear,softmax,"(256, 256)",-1
fp32,nonlinear,softmax,"(256, 256)",-1
bf16,nonlinear,softmax,"(256, 320)",-1
fp16,nonlinear,softmax,"(256, 320)",-1
fp32,nonlinear,softmax,"(256, 320)",-1
bf16,nonlinear,softmax,"(256, 384)",-1
fp16,nonlinear,softmax,"(256, 384)",-1
fp32,nonlinear,softmax,"(256, 384)",-1
bf16,nonlinear,softmax,"(256, 448)",-1
fp16,nonlinear,softmax,"(256, 448)",-1
fp32,nonlinear,softmax,"(256, 448)",-1
bf16,nonlinear,softmax,"(256, 512)",-1
fp16,nonlinear,softmax,"(256, 512)",-1
fp32,nonlinear,softmax,"(256, 512)",-1
bf16,nonlinear,softmax,"(256, 576)",-1
fp16,nonlinear,softmax,"(256, 576)",-1
fp32,nonlinear,softmax,"(256, 576)",-1
bf16,nonlinear,softmax,"(256, 640)",-1
fp16,nonlinear,softmax,"(256, 640)",-1
fp32,nonlinear,softmax,"(256, 640)",-1
bf16,nonlinear,softmax,"(256, 704)",-1
fp16,nonlinear,softmax,"(256, 704)",-1
fp32,nonlinear,softmax,"(256, 704)",-1
bf16,nonlinear,softmax,"(256, 768)",-1
fp16,nonlinear,softmax,"(256, 768)",-1
fp32,nonlinear,softmax,"(256, 768)",-1
bf16,nonlinear,softmax,"(256, 832)",-1
fp16,nonlinear,softmax,"(256, 832)",-1
fp32,nonlinear,softmax,"(256, 832)",-1
bf16,nonlinear,softmax,"(256, 896)",-1
fp16,nonlinear,softmax,"(256, 896)",-1
fp32,nonlinear,softmax,"(256, 896)",-1
bf16,nonlinear,softmax,"(256, 960)",-1
fp16,nonlinear,softmax,"(256, 960)",-1
fp32,nonlinear,softmax,"(256, 960)",-1
bf16,nonlinear,softmax,"(262144, 1024)",-1
fp16,nonlinear,softmax,"(262144, 1024)",-1
fp32,nonlinear,softmax,"(262144, 1024)",-1
bf16,nonlinear,softmax,"(262144, 128)",-1
fp16,nonlinear,softmax,"(262144, 128)",-1
fp32,nonlinear,softmax,"(262144, 128)",-1
bf16,nonlinear,softmax,"(262144, 192)",-1
fp16,nonlinear,softmax,"(262144, 192)",-1
fp32,nonlinear,softmax,"(262144, 192)",-1
bf16,nonlinear,softmax,"(262144, 256)",-1
fp16,nonlinear,softmax,"(262144, 256)",-1
fp32,nonlinear,softmax,"(262144, 256)",-1
bf16,nonlinear,softmax,"(262144, 320)",-1
fp16,nonlinear,softmax,"(262144, 320)",-1
fp32,nonlinear,softmax,"(262144, 320)",-1
bf16,nonlinear,softmax,"(262144, 384)",-1
fp16,nonlinear,softmax,"(262144, 384)",-1
fp32,nonlinear,softmax,"(262144, 384)",-1
bf16,nonlinear,softmax,"(262144, 448)",-1
fp16,nonlinear,softmax,"(262144, 448)",-1
fp32,nonlinear,softmax,"(262144, 448)",-1
bf16,nonlinear,softmax,"(262144, 512)",-1
fp16,nonlinear,softmax,"(262144, 512)",-1
fp32,nonlinear,softmax,"(262144, 512)",-1
bf16,nonlinear,softmax,"(262144, 576)",-1
fp16,nonlinear,softmax,"(262144, 576)",-1
fp32,nonlinear,softmax,"(262144, 576)",-1
bf16,nonlinear,softmax,"(262144, 640)",-1
fp16,nonlinear,softmax,"(262144, 640)",-1
fp32,nonlinear,softmax,"(262144, 640)",-1
bf16,nonlinear,softmax,"(262144, 704)",-1
fp16,nonlinear,softmax,"(262144, 704)",-1
fp32,nonlinear,softmax,"(262144, 704)",-1
bf16,nonlinear,softmax,"(262144, 768)",-1
fp16,nonlinear,softmax,"(262144, 768)",-1
fp32,nonlinear,softmax,"(262144, 768)",-1
bf16,nonlinear,softmax,"(262144, 832)",-1
fp16,nonlinear,softmax,"(262144, 832)",-1
fp32,nonlinear,softmax,"(262144, 832)",-1
bf16,nonlinear,softmax,"(262144, 896)",-1
fp16,nonlinear,softmax,"(262144, 896)",-1
fp32,nonlinear,softmax,"(262144, 896)",-1
bf16,nonlinear,softmax,"(262144, 960)",-1
fp16,nonlinear,softmax,"(262144, 960)",-1
fp32,nonlinear,softmax,"(262144, 960)",-1
bf16,nonlinear,softmax,"(2, 1024)",-1
fp16,nonlinear,softmax,"(2, 1024)",-1
fp32,nonlinear,softmax,"(2, 1024)",-1
bf16,nonlinear,softmax,"(2, 128)",-1
fp16,nonlinear,softmax,"(2, 128)",-1
fp32,nonlinear,softmax,"(2, 128)",-1
bf16,nonlinear,softmax,"(2, 192)",-1
fp16,nonlinear,softmax,"(2, 192)",-1
fp32,nonlinear,softmax,"(2, 192)",-1
bf16,nonlinear,softmax,"(2, 256)",-1
fp16,nonlinear,softmax,"(2, 256)",-1
fp32,nonlinear,softmax,"(2, 256)",-1
bf16,nonlinear,softmax,"(2, 320)",-1
fp16,nonlinear,softmax,"(2, 320)",-1
fp32,nonlinear,softmax,"(2, 320)",-1
bf16,nonlinear,softmax,"(2, 384)",-1
fp16,nonlinear,softmax,"(2, 384)",-1
fp32,nonlinear,softmax,"(2, 384)",-1
bf16,nonlinear,softmax,"(2, 448)",-1
fp16,nonlinear,softmax,"(2, 448)",-1
fp32,nonlinear,softmax,"(2, 448)",-1
bf16,nonlinear,softmax,"(2, 512)",-1
fp16,nonlinear,softmax,"(2, 512)",-1
fp32,nonlinear,softmax,"(2, 512)",-1
bf16,nonlinear,softmax,"(2, 576)",-1
fp16,nonlinear,softmax,"(2, 576)",-1
fp32,nonlinear,softmax,"(2, 576)",-1
bf16,nonlinear,softmax,"(2, 640)",-1
fp16,nonlinear,softmax,"(2, 640)",-1
fp32,nonlinear,softmax,"(2, 640)",-1
bf16,nonlinear,softmax,"(2, 704)",-1
fp16,nonlinear,softmax,"(2, 704)",-1
fp32,nonlinear,softmax,"(2, 704)",-1
bf16,nonlinear,softmax,"(2, 768)",-1
fp16,nonlinear,softmax,"(2, 768)",-1
fp32,nonlinear,softmax,"(2, 768)",-1
bf16,nonlinear,softmax,"(2, 832)",-1
fp16,nonlinear,softmax,"(2, 832)",-1
fp32,nonlinear,softmax,"(2, 832)",-1
bf16,nonlinear,softmax,"(2, 896)",-1
fp16,nonlinear,softmax,"(2, 896)",-1
fp32,nonlinear,softmax,"(2, 896)",-1
bf16,nonlinear,softmax,"(2, 960)",-1
